Gene Names;Cellular_Location;Condition-1;Condition-2;Condition-3
AT1G01050;Cytoplasm;6.123783e-07;4.884482e-07;4.378989e-07
AT1G01080;Cytoplasm;1.276485e-06;8.097850e-07;6.469959e-07
AT1G01090;Plastid;1.023509e-06;7.381908e-07;6.552666e-07
AT1G01100;Cytoplasm;1.501993e-06;3.911290e-07;9.372952e-07
AT1G01170;Cytoplasm;2.592043e-06;3.225084e-06;2.937295e-06
AT1G01300;Cytoplasm;2.917695e-08;1.853834e-08;3.000799e-08
AT1G01320;Cytoplasm;2.574408e-08;1.264979e-08;8.554953e-09
AT1G01420;Cytoplasm;3.778676e-09;0;2.318355e-08
AT1G02090;Cytoplasm,Nucleus;7.603663e-08;0;2.999822e-08
AT1G02130;Cytoplasm,Golgi_apparatus_membrane;0;0;1.560461e-08
AT1G02140;Cytoplasm,Nucleus;6.134528e-08;0;2.190845e-08
